transaction_id,account_id,customer_id,transaction_type,amount,currency,counterparty_info,transaction_date,channel,purpose
TXN00000001,ACCT000279,CUST00001,缴费,33598.69,HKD,,2026-03-17 14:46:29,柜面,投资理财
TXN00000002,ACCT000247,CUST00101,转账,188557.65,CNY,对手方-彩虹科技有限公司,2026-01-09 06:37:36,手机银行,投资收益
TXN00000003,ACCT000099,CUST00175,赎回,190642.46,CNY,对手方-海创信息有限公司,2026-03-25 04:38:41,网银,投资收益
TXN00000004,ACCT000185,CUST00107,申购,61928.51,CNY,对手方-飞利信信息有限公司,2026-01-17 00:07:24,ATM,费用缴纳
TXN00000005,ACCT000045,CUST00030,转账,60455.54,HKD,对手方-快讯传媒有限公司,2025-09-02 02:06:48,网银,投资理财
TXN00000006,ACCT000274,CUST00144,申购,68367.69,CNY,,2025-08-16 00:26:49,柜面,
TXN00000007,ACCT000202,CUST00101,转账,62165.03,CNY,对手方-黄石金承信息有限公司,2026-04-08 02:32:18,网银,投资收益
TXN00000008,ACCT000266,CUST00137,申购,95294.95,CNY,对手方-佳禾传媒有限公司,2026-05-12 18:35:56,ATM,工资发放
TXN00000009,ACCT000165,CUST00050,申购,164217.98,CNY,对手方-华成育卓科技有限公司,2025-11-17 02:19:04,手机银行,投资收益
TXN00000010,ACCT000098,CUST00160,申购,6243.69,USD,对手方-华远软件传媒有限公司,2026-03-28 13:22:39,网银,工资发放
TXN00000011,ACCT000139,CUST00083,转账,92867.63,CNY,对手方-浙大万朋网络有限公司,2025-12-27 01:03:15,手机银行,投资理财
TXN00000012,ACCT000052,CUST00004,赎回,41475.51,CNY,,2026-02-07 15:25:40,手机银行,投资理财
TXN00000013,ACCT000156,CUST00034,退款,72764.78,CNY,对手方-七喜网络有限公司,2025-08-05 21:02:13,手机银行,
TXN00000014,ACCT000070,CUST00074,申购,52806.5,CNY,,2026-03-13 20:42:24,柜面,贷款偿还
TXN00000015,ACCT000034,CUST00095,转账,70228.64,CNY,对手方-信诚致远传媒有限公司,2026-03-15 03:30:55,手机银行,工资发放
TXN00000016,ACCT000285,CUST00165,申购,94307.76,CNY,对手方-盟新网络有限公司,2026-05-04 12:15:16,网银,费用缴纳
TXN00000017,ACCT000226,CUST00079,申购,16649.89,CNY,,2025-09-28 18:57:56,网银,投资理财
TXN00000018,ACCT000106,CUST00094,退款,38942.39,CNY,,2026-06-09 10:38:40,手机银行,日常消费
TXN00000019,ACCT000269,CUST00053,缴费,176083.59,USD,对手方-创亿科技有限公司,2026-03-20 08:53:13,柜面,工资发放
TXN00000020,ACCT000270,CUST00072,申购,16853.89,CNY,对手方-银嘉科技有限公司,2026-04-14 16:35:39,手机银行,贷款偿还
TXN00000021,ACCT000226,CUST00079,缴费,-38040.22,CNY,,2025-10-11 23:51:54,网银,工资发放
TXN00000022,ACCT000250,CUST00167,赎回,98463.68,CNY,对手方-良诺传媒有限公司,2026-04-22 17:16:54,ATM,工资发放
TXN00000023,ACCT000038,CUST00018,赎回,138396.4,CNY,对手方-MBP软件传媒有限公司,2026-01-28 16:06:17,网银,
TXN00000024,ACCT000198,CUST00055,退款,38376.11,CNY,对手方-创汇传媒有限公司,2025-07-10 07:54:20,网银,贷款偿还
TXN00000025,ACCT000284,CUST00094,分红,88439.87,CNY,,2026-05-02 12:13:58,网银,费用缴纳
TXN00000026,ACCT000090,CUST00039,缴费,111546.67,CNY,对手方-浙大万朋网络有限公司,2025-10-04 10:08:42,手机银行,工资发放
TXN00000027,ACCT000123,CUST00104,缴费,4864.88,CNY,,2025-11-24 07:04:25,网银,
TXN00000028,ACCT000193,CUST00154,赎回,100599.95,CNY,对手方-彩虹科技有限公司,2026-05-19 10:28:48,柜面,投资收益
TXN00000029,ACCT000243,CUST00130,申购,30613.4,CNY,对手方-华泰通安网络有限公司,2026-06-12 02:31:19,手机银行,工资发放
TXN00000030,ACCT000132,CUST00134,申购,91419.02,CNY,对手方-国讯信息有限公司,2026-05-14 19:37:58,网银,工资发放
TXN00000031,ACCT000128,CUST00009,申购,16584.77,CNY,对手方-通际名联科技有限公司,2025-07-29 01:18:24,柜面,投资理财
TXN00000032,ACCT000060,CUST00187,赎回,209088.93,CNY,,2026-04-16 04:39:39,柜面,投资理财
TXN00000033,ACCT000135,CUST00027,申购,34205.71,CNY,对手方-飞海科技信息有限公司,2026-02-26 10:02:42,手机银行,贷款偿还
TXN00000034,ACCT000058,CUST00118,赎回,127346.95,CNY,,2026-06-19 15:53:05,ATM,工资发放
TXN00000035,ACCT000129,CUST00157,转账,29756.41,CNY,,2026-01-31 22:57:37,手机银行,工资发放
TXN00000036,ACCT000079,CUST00016,分红,283065.58,CNY,对手方-开发区世创网络有限公司,2026-01-08 07:29:41,网银,费用缴纳
TXN00000037,ACCT000231,CUST00104,申购,226088.63,CNY,对手方-天益科技有限公司,2025-09-11 01:56:01,网银,投资理财
TXN00000038,ACCT000018,CUST00182,赎回,138977.51,CNY,对手方-浙大万朋科技有限公司,2025-12-14 15:20:37,手机银行,费用缴纳
