product_id,product_name,product_type,risk_level,issuer,status,launch_date,maturity_date
PRD0001,恒泰混合型37号,公募-混合型,中,江汉基金,存续,2026-04-21,2028-04-20
PRD0002,价值股票多头5号,私募-股票多头,高,华中证券,存续,2025-07-15,2027-07-15
PRD0003,稳盈集合63号,资管计划-集合,中,江汉基金,存续,2023-10-16,2024-10-15
PRD0004,致远定向53号,资管计划-定向,中,武汉银行理财子公司,存续,2025-06-20,2030-06-19
PRD0005,安信集合8号,资管计划-集合,中,,存续,2025-05-27,2026-05-27
PRD0006,恒泰量化对冲51号,私募-量化对冲,高,江汉基金,存续,2023-04-04,2025-04-03
PRD0007,恒泰股票型40号,公募-股票型,中,华中证券,存续,2025-12-09,2028-12-08
PRD0008,稳健股票型96号,公募-股票型,中,华中证券,存续,2025-01-21,2028-01-21
PRD0009,进取债券型88号,公募-债券型,低,华中证券,存续,2021-11-30,2023-11-30
PRD0010,稳盈债券型41号,公募-债券型,低,长江信托,存续,2022-08-29,2027-08-28
PRD0011,优选债券型34号,公募-债券型,低,武汉银行理财子公司,存续,2026-01-12,2029-01-11
PRD0012,稳盈集合53号,资管计划-集合,中,江汉基金,存续,2025-07-26,2026-07-26
PRD0013,进取固收62号,专户-固收,中,楚天资管,存续,2024-01-27,2027-01-26
PRD0014,丰盈定向72号,资管计划-定向,中,华中证券,存续,2024-08-18,2026-08-18
PRD0015,稳健集合35号,资管计划-集合,中,武汉银行理财子公司,存续,2024-07-17,2025-07-17
PRD0016,稳健货币型96号,公募-货币型,低,武汉银行理财子公司,存续,2023-12-20,2026-12-19
PRD0017,恒泰债券型25号,公募-债券型,低,江汉基金,存续,2023-03-08,2024-03-07
PRD0018,价值债券型70号,公募-债券型,低,长江信托,存续,2022-10-15,2024-10-14
PRD0019,稳健股票多头58号,私募-股票多头,高,江汉基金,存续,2023-07-05,2025-07-04
PRD0020,恒泰股票型55号,公募-股票型,中,长江信托,存续,2025-06-04,2028-06-03
PRD0021,恒泰货币型57号,公募-货币型,低,长江信托,存续,2023-05-01,2024-04-30
PRD0022,进取定向52号,资管计划-定向,中,长江信托,终止,2021-09-12,2024-09-11
PRD0023,稳健权益7号,专户-权益,高,江汉基金,存续,2025-12-22,2027-12-22
PRD0024,成长集合70号,资管计划-集合,中,楚天资管,存续,2021-07-01,2023-07-01
PRD0025,恒泰固收24号,专户-固收,中,楚天资管,终止,2024-05-02,2027-05-02
PRD0026,丰盈集合42号,资管计划-集合,中,楚天资管,存续,2022-02-07,2027-02-06
PRD0027,稳盈固收74号,专户-固收,中,华中证券,存续,2024-11-23,2029-11-22
PRD0028,丰盈货币型41号,公募-货币型,低,武汉银行理财子公司,存续,2022-09-21,2024-09-20
PRD0029,丰盈股票型86号,公募-股票型,中,长江信托,终止,2022-09-25,2027-09-24
PRD0030,恒泰股票型17号,公募-股票型,中,楚天资管,存续,2022-08-20,
