account_id,customer_id,product_id,account_type,status,balance,currency,open_date,close_date
ACCT000001,CUST00060,PRD0028,活期,冻结,1007044,CNY,2025-04-26,
ACCT000002,CUST00165,PRD0026,理财,正常,3674626.35,CNY,2024-02-09,
ACCT000003,CUST00023,PRD0002,活期,正常,-2930482.56,CNY,2025-03-26,
ACCT000004,CUST00175,PRD0013,活期,正常,2071909.26,CNY,2025-10-14,
ACCT000005,CUST00102,PRD0014,理财,正常,743472.09,CNY,2024-08-20,
ACCT000006,CUST00048,PRD0016,理财,正常,1518155.55,USD,2024-11-07,
ACCT000007,CUST00176,PRD0024,活期,正常,3359809.91,CNY,2023-08-05,
ACCT000008,CUST00116,PRD0021,基金,冻结,2433461.8,CNY,2024-02-15,
ACCT000009,CUST00042,PRD0028,活期,正常,2840844.22,CNY,2025-06-07,
ACCT000010,CUST00135,PRD0017,活期,冻结,1284178.51,CNY,2026-05-11,
ACCT000011,CUST00180,PRD0019,理财,正常,3157316.49,CNY,2024-09-28,
ACCT000012,CUST00063,PRD0014,定期,正常,4876407.75,CNY,2025-02-26,
ACCT000013,CUST00119,PRD0009,定期,正常,3389866.98,CNY,2023-10-14,
ACCT000014,CUST00121,PRD0010,定期,正常,4463186.32,CNY,2024-02-23,
ACCT000015,CUST00048,PRD0026,定期,正常,3561419.37,HKD,2025-07-21,
ACCT000016,CUST00004,PRD0024,定期,正常,1277213.16,CNY,2024-05-01,
ACCT000017,CUST00080,PRD0026,理财,正常,1999193.08,USD,2024-04-04,
ACCT000018,CUST00182,PRD0029,定期,正常,1715745.63,USD,2023-08-19,2025-11-01
ACCT000019,CUST00002,PRD0001,活期,正常,4891987.08,CNY,2023-09-14,
ACCT000020,CUST00055,PRD0018,理财,冻结,1550708.15,CNY,2024-11-08,
ACCT000021,CUST00187,PRD0027,定期,正常,3835305.26,CNY,2025-10-12,
ACCT000022,CUST00187,PRD0009,定期,正常,2680926.5,CNY,2024-09-03,
ACCT000023,CUST00154,PRD0022,定期,销户,3460779.85,USD,2024-02-17,
ACCT000024,CUST00080,PRD0029,基金,正常,4610708.26,USD,2024-08-13,
ACCT000025,CUST00188,PRD0004,定期,销户,1995852.63,CNY,2024-04-24,
ACCT000026,CUST00028,PRD0011,信托,正常,1462249.06,CNY,2026-06-24,
ACCT000027,CUST00040,PRD0026,活期,正常,2130973.85,CNY,2025-12-24,
ACCT000028,CUST00187,PRD0002,活期,正常,1906299.98,CNY,2023-08-07,
ACCT000029,CUST00008,PRD0006,理财,正常,3542344.08,CNY,2025-05-24,
ACCT000030,CUST00143,PRD0012,理财,销户,-4597802.22,CNY,2024-01-26,
ACCT000031,CUST00166,PRD0001,活期,正常,2120899.01,CNY,2024-04-28,
ACCT000032,CUST00180,PRD0012,理财,正常,3892907.9,CNY,2026-05-16,
ACCT000033,CUST00016,PRD0007,活期,冻结,2801317.39,CNY,2026-02-09,
ACCT000034,CUST00095,PRD0026,定期,正常,4334521.18,CNY,2026-05-02,
ACCT000035,CUST00062,PRD0016,定期,正常,1303357.06,CNY,2025-08-08,
ACCT000036,CUST00018,PRD0008,活期,正常,1971392.21,CNY,2025-02-21,2027-12-19
ACCT000037,CUST00080,PRD0019,理财,正常,4150726.45,CNY,2026-02-20,
ACCT000038,CUST00018,PRD0019,信托,正常,1926006.16,CNY,2024-08-22,
ACCT000039,CUST00079,PRD0012,活期,正常,931134.18,CNY,2025-09-26,
ACCT000040,CUST00012,PRD0017,活期,正常,3919469.07,CNY,2025-10-14,
ACCT000041,CUST00046,PRD0005,活期,正常,2662382.12,CNY,2023-09-01,
ACCT000042,CUST00125,PRD0018,活期,正常,604405.24,CNY,2023-11-06,
ACCT000043,CUST00145,PRD0029,活期,正常,4644876.27,CNY,2023-08-02,
ACCT000044,CUST00106,PRD0003,定期,正常,385276.42,CNY,2025-01-24,
